"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"85","king s ransom",27360,3,"jeffrey w byrd",95,2.5e+07,4008527,"2005-04-22","Q2",1,0,0,0,1,-0.83965892,0
"86","bad company",3132,1,"joel schumacher",116,7e+07,30157016,"2002-06-07","Q2",0,1,0,1,1,-0.569185485714286,0
"87","red dragon",9533,1,"brett ratner",124,7.8e+07,92955420,"2002-09-29","Q4",1,1,0,0,0,0.191736153846154,0
"88","the dead zone",352128,3,"robert lieberman",83,1e+07,20766000,"2002-11-05","Q4",1,1,0,0,1,1.0766,1
"89","spy kids 2 the island of lost dreams",9488,1,"robert rodriguez",100,3.8e+07,85846296,"2002-08-07","Q3",0,0,0,1,1,1.25911305263158,1
"90","once upon a time in mexico",1428,1,"robert rodriguez",102,2.9e+07,56330657,"2003-09-11","Q3",0,0,0,1,0,0.942436448275862,0
"91","the last stand",76640,1,"kim jee woon",107,3e+07,12050299,"2013-01-12","Q1",1,1,0,1,0,-0.598323366666667,0
"92","maggie",287424,1,"henry hobson",95,4500000,187112,"2015-05-08","Q2",0,1,0,0,0,-0.958419555555556,0
"93","kubo and the two strings",313297,3,"travis knight",102,5.5e+07,48023088,"2016-08-18","Q3",0,0,0,1,1,-0.126852945454545,0
"94","come early morning",7547,2,"joey lauren adams",97,6e+06,119452,"2006-01-10","Q4",1,0,0,0,0,-0.980091333333333,0
"95","someone like you ",12658,2,"tony goldwyn",97,2.3e+07,27338033,"2001-03-30","Q1",1,0,0,0,1,0.188610130434783,0
"96","high crimes",11560,2,"carl franklin",115,4.2e+07,41543207,"2002-04-03","Q2",1,1,0,0,0,-0.0108760238095238,0
"97","jobs",115782,2,"joshua michael stern",128,1.8e+07,16131410,"2013-08-16","Q3",1,0,1,0,0,-0.103810555555556,0
"98","my boss s daughter",2830,2,"david zucker",83,1.4e+07,15549702,"2003-08-21","Q3",1,0,0,0,1,0.110693,0
"99","just married",12090,2,"shawn levy",95,1.9e+07,56127162,"2003-01-09","Q1",0,0,0,0,1,1.95406115789474,1
"100","the to do list",129139,3,"maggie carey",104,1500000,3491669,"2013-07-24","Q3",1,0,0,0,1,1.32777933333333,1
"101","knockaround guys",7501,3,"brian koppelman",92,1.5e+07,11660180,"2001-09-07","Q4",1,1,0,0,0,-0.222654666666667,0
