"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"418","home",61222,3,"ursula meier",98,5e+05,15433,"2008-10-29","Q2",1,0,0,0,0,-0.969134,0
"419","captive",98203,3,"brillante mendoza",120,2e+06,2583301,"2012-09-05","Q3",1,1,0,0,0,0.2916505,0
"420","bad boys",265330,3,"zak levitt",100,2.3e+07,65647413,"2014-04-17","Q2",0,0,1,0,0,1.85423534782609,1
"421","jack",254323,3,"edward berger",103,4.5e+07,58617334,"2014-10-09","Q3",1,0,0,0,0,0.302607422222222,0
"422","redacted",11600,3,"brian de palma",90,5e+06,65388,"2007-01-01","Q4",1,0,1,1,0,-0.9869224,0
"423","school of rock",1584,1,"richard linklater",108,2e+07,81261177,"2003-10-03","Q4",0,0,1,0,1,3.06305885,1
"424","the d train",308638,1,"andrew mogel",101,3e+06,669688,"2015-05-08","Q2",1,0,0,0,1,-0.776770666666667,0
"425","the tuxedo",10771,1,"kevin donovan",98,6e+07,50586000,"2002-09-27","Q3",0,1,0,1,1,-0.1569,0
"426","the pledge",5955,1,"sean penn",123,4.5e+07,19719930,"2001-01-09","Q1",1,1,0,0,0,-0.561779333333333,0
"427","about schmidt",2755,1,"alexander payne",125,3e+07,65005217,"2002-12-13","Q4",1,0,0,0,1,1.16684056666667,1
"428","sleight",347882,3,"j d dillard",89,250000,3930990,"2017-04-28","Q2",1,1,0,1,1,14.72396,1
"429","detention of the dead",139715,3,"alex craig mann",87,5e+05,1778,"2012-04-27","Q2",0,1,0,0,1,-0.996444,0
"430","moonlight mile",31005,1,"brad silberling",117,2.1e+07,6830957,"2002-09-09","Q3",1,0,0,0,0,-0.674716333333333,0
"431","donnie darko",141,1,"richard kelly",113,4500000,1480006,"2001-01-18","Q4",1,1,0,0,1,-0.671109777777778,0
"432","little boy",256962,3,"alejandro monteverde",106,2e+07,6485961,"2015-04-23","Q2",1,0,1,1,1,-0.67570195,0
"433","13 hours the secret soldiers of benghazi",300671,3,"michael bay",144,5e+07,52853219,"2016-01-13","Q1",1,1,1,1,0,0.05706438,0
"434","facing the giants",18925,3,"alex kendrick",111,1e+05,10178331,"2006-09-29","Q3",1,0,0,0,0,100.78331,1
"435","screwed",75657,3,"reg traviss",110,1.2e+07,6982680,"2011-06-03","Q2",1,0,0,1,0,-0.41811,0
"436","sonny",28028,1,"nicolas cage",110,4e+06,17639,"2002-10-26","Q4",1,0,0,0,0,-0.99559025,0
"437","10th wolf",13197,2,"robert moresco",107,8e+06,54702,"2006-02-19","Q3",1,1,0,1,0,-0.99316225,0
"438","the last station",36811,3,"michael hoffman",112,1.8e+07,6617867,"2009-09-04","Q1",1,0,0,0,0,-0.632340722222222,0
"439","split",381288,3,"m night shyamalan",117,5e+06,138141585,"2016-11-15","Q1",0,1,0,0,0,26.628317,1
"440","victor frankenstein",228066,3,"paul mcguigan",109,4e+07,5775076,"2015-11-10","Q4",1,1,0,0,1,-0.8556231,0
"441","lucky break",35944,3,"peter cattaneo",107,6e+06,54606,"2001-08-24","Q2",0,0,0,1,1,-0.990899,0
"442","the watcher",10685,3,"joe charbanic",96,3.3e+07,28946615,"2000-09-08","Q3",1,1,0,0,0,-0.122829848484848,0
"443","secretary",11013,3,"steven shainberg",104,4e+06,4046737,"2002-01-11","Q3",1,0,0,0,1,0.01168425,0
"444","supernova",10384,3,"walter hill",91,6e+07,14218868,"2000-01-14","Q1",0,1,0,0,1,-0.763018866666667,0
"445","texas rangers",13503,3,"steve miner",110,3.8e+07,623374,"2001-11-30","Q4",0,0,0,1,0,-0.983595421052632,0
"446","the rules of attraction",1809,3,"roger avary",110,4e+06,6525762,"2002-10-11","Q4",1,0,0,0,1,0.6314405,0
"447","anonymous",61891,3,"roland emmerich",130,27500000,4463292,"2011-10-21","Q4",1,1,1,0,0,-0.837698472727273,0
"448","bait",14805,3,"antoine fuqua",119,3.5e+07,15325127,"2000-09-14","Q3",1,1,0,1,0,-0.562139228571429,0
"449","halloween resurrection",11442,2,"rick rosenthal",94,1.5e+07,30259652,"2002-07-01","Q3",0,1,0,0,0,1.01731013333333,1
"450","georgia rule",13159,1,"garry marshall",113,2e+07,18882880,"2007-05-11","Q2",1,0,0,0,1,-0.055856,0
"451","evil dead",109428,3,"fede alvarez",91,1.7e+07,54239856,"2013-04-05","Q2",0,1,0,0,0,2.19057976470588,1
"452","this is where i leave you",239678,2,"shawn levy",103,2e+07,34296320,"2014-09-10","Q3",1,0,0,0,1,0.714816,0
"453","bad words",209403,2,"jason bateman",88,1e+07,7779614,"2013-09-06","Q1",0,0,0,0,1,-0.2220386,0
"454","american wedding",8273,3,"jesse dylan",103,5.5e+07,104354205,"2003-08-01","Q3",1,0,0,0,1,0.897349181818182,0
"455","saving silverman",10878,3,"dennis dugan",90,2.2e+07,19351569,"2001-02-09","Q1",1,0,0,0,1,-0.120383227272727,0
"456","out cold",14369,3,"brendan malloy",89,1.1e+07,13906394,"2001-11-21","Q4",0,0,0,0,1,0.264217636363636,0
"457","narc",11022,3,"joe carnahan",105,7500000,10465659,"2002-01-14","Q4",1,1,0,1,0,0.3954212,0
"458","spun",12079,3,"jonas åkerlund",101,4500000,410241,"2002-06-01","Q1",1,0,0,0,1,-0.908835333333333,0
"459","slackers",20009,3,"dewey nicks",86,1.1e+07,4814244,"2002-02-01","Q1",1,0,0,0,1,-0.562341454545455,0
"460","homefront",204082,3,"gary fleder",100,2.2e+07,20158492,"2013-11-27","Q4",0,1,0,1,0,-0.0837049090909091,0
"461","parker",119283,3,"taylor hackford",118,3.5e+07,17616641,"2013-01-23","Q1",1,0,0,1,0,-0.4966674,0
"462","in the name of the king a dungeon siege tale",2312,3,"uwe boll",127,6e+07,4775656,"2007-11-29","Q1",1,0,0,1,1,-0.920405733333333,0
"463","wild card",265208,3,"simon west",92,3e+07,3200,"2015-01-14","Q1",1,1,0,0,0,-0.999893333333333,0
"464","we re the millers",138832,3,"rawson marshall thurber",110,3.7e+07,150394119,"2013-08-07","Q3",1,0,0,0,1,3.06470591891892,1
"465","super troopers",39939,3,"jay chandrasekhar",100,1200000,18492362,"2001-01-18","Q1",1,1,0,0,1,14.4103016666667,1
"466","everybody wants to be italian",12818,3,"jason todd ipson",105,3e+06,351416,"2007-09-18","Q3",1,0,0,0,1,-0.882861333333333,0
"467","the order",37632,3,"sheldon lettich",89,3.5e+07,7659747,"2001-12-10","Q3",1,1,0,1,1,-0.781150085714286,0
"468","ca h",13652,3,"éric besnard",100,7e+06,46488,"2008-04-23","Q1",1,1,0,0,1,-0.993358857142857,0
"469","just visiting",56715,3,"jean marie poiré",88,4e+07,4777007,"2001-04-06","Q2",0,0,0,0,1,-0.880574825,0
"470","the little prince",309809,3,"mark osborne",92,77500000,1311213,"2015-07-29","Q3",0,0,0,1,1,-0.983081122580645,0
"471","hell or high water",338766,3,"david mackenzie",102,1.2e+07,27007844,"2016-08-12","Q3",1,1,0,1,0,1.25065366666667,1
"472","seabiscuit",4464,3,"gary ross",141,8.6e+07,120277854,"2003-07-22","Q3",1,0,1,0,0,0.398579697674419,0
"473","seventh son",68737,3,"sergei bodrov",102,9.5e+07,17725785,"2014-12-12","Q4",0,0,0,1,1,-0.813412789473684,0
"474","k pax",167,3,"iain softley",120,4.8e+07,50315140,"2001-10-22","Q3",1,0,0,0,1,0.0482320833333333,0
"475","because of winn dixie",17880,1,"wayne wang",106,1.5e+07,32647042,"2005-02-18","Q1",1,0,0,0,1,1.17646946666667,1
"476","i want someone to eat cheese with",13066,3,"jeff garlin",80,1500000,194568,"2006-01-01","Q3",1,0,0,0,1,-0.870288,0
"477","saved ",13193,3,"brian dannelly",92,5e+06,8886160,"2004-01-21","Q2",1,0,0,0,1,0.777232,0
"478","obsessed",96382,3,"john badham",96,2e+07,68261644,"2002-09-22","Q2",1,1,0,0,0,2.4130822,1
"479","aloft",251321,1,"claudia llosa",112,8e+06,53086,"2014-02-12","Q1",1,0,0,0,0,-0.99336425,0
"480","angel eyes",5852,1,"luis mandoki",102,3.8e+07,24044532,"2001-05-15","Q2",1,1,0,0,0,-0.367249157894737,0
"481","urban legends final cut",12212,2,"john ottman",97,1.5e+07,21468807,"2000-09-19","Q3",0,1,0,0,0,0.4312538,0
"482","kissing jessica stein",15647,3,"charles herman wurmfeld",97,1500000,7025722,"2001-04-21","Q1",0,0,0,0,1,3.68381466666667,1
"483","stonewall",273899,3,"roland emmerich",129,2e+06,304602,"2015-09-18","Q3",1,0,0,0,0,-0.847699,0
"484","the goods live hard sell hard",19905,3,"neal brennan",90,1e+07,15122676,"2009-08-14","Q3",0,0,0,0,1,0.5122676,0
"485","hansel gretel witch hunters",60304,3,"tommy wirkola",88,5e+07,55703475,"2013-01-17","Q1",0,1,0,1,1,0.1140695,0
"486","meet the mormons",291854,3,"blair treu",78,2e+06,6047363,"2014-10-10","Q4",0,0,1,0,1,2.0236815,1
"487","tomcats",10646,3,"gregory poirier",95,1.1e+07,13558739,"2001-03-30","Q1",1,0,0,0,1,0.232612636363636,0
"488","30 minutes or less",62206,3,"ruben fleischer",83,2.8e+07,37053924,"2011-08-11","Q3",0,0,0,1,1,0.323354428571429,0
"489","american ultra",261392,3,"nima nourizadeh",96,2.8e+07,14439985,"2015-08-19","Q3",0,0,0,1,1,-0.48428625,0
"490","the living wake",43653,3,"sol tryon",91,5e+05,12232,"2007-01-01","Q2",0,0,0,0,1,-0.975536,0
"491","rio",46195,3,"carlos saldanha",96,9e+07,143619809,"2011-04-03","Q2",0,0,0,1,1,0.595775655555556,0
"492","gracie",15568,3,"davis guggenheim",97,9e+06,2956339,"2007-06-01","Q2",1,0,0,0,0,-0.671517888888889,0
"493","valentine s day",32856,2,"garry marshall",125,5.2e+07,110485654,"2010-02-10","Q1",1,0,0,0,1,1.12472411538462,1
"494","spy kids all the time in the world",56288,2,"robert rodriguez",89,2.7e+07,38536376,"2011-08-18","Q3",0,0,0,1,1,0.427273185185185,0
"495","sin city",187,2,"robert rodriguez",124,4e+07,74103820,"2005-04-01","Q2",1,1,0,1,0,0.8525955,0
"496","blonde ambition",15017,3,"scott marshall smith",93,1e+07,6422,"2007-12-21","Q4",1,0,0,0,1,-0.9993578,0
"497","romeo must die",2085,3,"andrzej bartkowiak",115,2.5e+07,55973336,"2000-03-20","Q1",1,1,0,1,0,1.23893344,1
"498","kiss of the dragon",2140,3,"chris nahon",98,2.5e+07,36833473,"2001-07-06","Q3",1,1,0,1,0,0.47333892,0
"499","snow dogs",11888,3,"brian levant",99,3.2e+07,81150692,"2002-01-18","Q1",0,0,0,1,1,1.535959125,1
"500","eternal sunshine of the spotless mind",38,1,"michel gondry",108,2e+07,34366518,"2004-03-19","Q1",1,0,0,0,1,0.7183259,0
"501","the majestic",11086,1,"frank darabont",152,7.2e+07,27796042,"2001-12-21","Q4",1,0,0,0,0,-0.613943861111111,0
"502","madison",38717,3,"william bindley",99,15500000,517262,"2001-01-23","Q2",1,0,0,1,1,-0.966628258064516,0
"503","when the game stands tall",232679,3,"thomas carter",115,1.5e+07,30127963,"2014-08-22","Q3",1,0,0,0,0,1.00853086666667,1
"504","pooh s heffalump movie",13682,3,"frank nissen",68,2e+07,18098433,"2005-02-11","Q1",0,0,0,0,1,-0.09507835,0
"505","the guru",9027,3,"daisy von scherler mayer",91,1.1e+07,3051221,"2002-08-21","Q1",1,0,0,0,1,-0.722616272727273,0
"506","shorts",25132,3,"robert rodriguez",89,2e+07,20919166,"2009-08-21","Q3",0,0,0,0,1,0.0459583,0
"507","her",152601,1,"spike jonze",126,2.3e+07,25568251,"2013-12-18","Q1",1,0,0,0,1,0.111663086956522,0
"508","the master",68722,1,"paul thomas anderson",137,37500000,16247159,"2012-09-07","Q3",1,0,0,0,0,-0.566742426666667,0
"509","murderball",14278,3,"henry alex rubin",88,350000,1531154,"2005-07-22","Q3",0,0,1,0,0,3.37472571428571,1
"510","loving",339419,3,"jeff nichols",123,9e+06,7710234,"2016-11-04","Q4",1,0,0,0,0,-0.143307333333333,0
"511","it comes at night",418078,3,"trey edward shults",91,5e+06,13985117,"2017-06-09","Q2",1,1,0,0,0,1.7970234,1
"512","wish upon",440597,3,"john r leonetti",90,1.2e+07,14301505,"2017-07-07","Q3",0,1,0,0,1,0.191792083333333,0
"513","detroit",407448,2,"kathryn bigelow",143,4e+07,16790139,"2017-07-28","Q3",1,1,1,0,0,-0.580246525,0
"514","my big fat greek wedding 2",302688,3,"kirk jones",94,1.8e+07,59689605,"2016-03-23","Q1",1,0,0,0,1,2.31608916666667,1
"515","martian child",5126,1,"menno meyjes",106,2.7e+07,7500310,"2007-11-02","Q4",1,0,0,0,0,-0.722210740740741,0
"516","max",13560,1,"menno meyjes",106,2e+07,42656255,"2002-09-10","Q2",1,0,1,1,0,1.13281275,1
"517","the jungle book 2",14873,2,"steve trenbirth",72,2e+07,47901582,"2003-02-07","Q1",0,0,0,1,1,1.3950791,1
"518","away we go",19255,2,"sam mendes",98,2.1e+07,9451946,"2009-06-05","Q2",1,0,0,0,1,-0.549907333333333,0
"519","empire",13369,2,"franc reyes",90,3500000,17504595,"2002-12-06","Q4",1,0,0,1,0,4.00131285714286,1
"520","corpse bride",3933,1,"tim burton",77,3e+07,53359111,"2005-09-09","Q3",1,0,1,0,1,0.778637033333333,0
"521","swordfish",9705,1,"dominic sena",99,8e+07,69772969,"2001-06-07","Q2",1,1,0,1,0,-0.1278378875,0
"522","thirteen conversations about one thing",17734,2,"jill sprecher",104,3e+06,3287435,"2001-09-02","Q2",1,0,0,0,0,0.0958116666666667,0
"523","house of the dead",11059,3,"uwe boll",90,7e+06,10199354,"2003-04-11","Q4",0,1,0,1,0,0.457050571428571,0
"524","jackpot",196859,3,"michael polish",97,4e+05,44452,"2001-07-26","Q3",0,0,0,0,0,-0.88887,0
"525","project almanac",227719,3,"dean israelite",106,1.2e+07,22348241,"2015-01-29","Q1",0,1,0,0,1,0.862353416666667,0
"526","superbabies baby geniuses 2",31117,1,"bob clark",88,2e+07,9109322,"2004-08-27","Q3",0,0,0,0,1,-0.5445339,0
"527","the land",373471,3,"steven caple jr",102,1e+06,43756,"2016-07-29","Q3",1,0,0,0,0,-0.956244,0
"528","premium rush",49526,3,"david koepp",91,3.5e+07,20275446,"2012-08-24","Q3",1,1,0,1,0,-0.420701542857143,0
"529","snowden",302401,3,"oliver stone",134,5e+07,21587519,"2016-09-15","Q4",1,1,0,0,0,-0.56824962,0
"530","the walk",285783,3,"robert zemeckis",123,3.5e+07,10161183,"2015-09-30","Q3",1,1,0,1,1,-0.709680485714286,0
"531","gangster squad",82682,3,"ruben fleischer",113,6e+07,46000903,"2013-01-10","Q1",1,1,0,1,0,-0.233318283333333,0
"532","oldboy",87516,3,"spike lee",104,3e+06,707391,"2013-11-14","Q4",1,1,0,1,0,-0.764203,0
"533","labor day",130150,3,"jason reitman",111,1.8e+07,13371528,"2013-12-27","Q1",1,0,0,0,0,-0.257137333333333,0
"534","w ",10523,3,"oliver stone",131,25100000,25534493,"2008-10-17","Q4",1,0,1,0,0,0.0173104780876494,0
"535","win a date with tad hamilton ",13476,2,"robert luketic",95,2.4e+07,16980098,"2004-01-23","Q1",1,0,0,0,1,-0.292495916666667,0
"536","lucky number slevin",186,1,"paul mcguigan",110,2.7e+07,22495466,"2006-02-24","Q2",1,1,0,0,0,-0.166834592592593,0
"537","battle of the year",109417,3,"benson lee",110,2e+07,8888355,"2013-09-21","Q3",1,0,1,0,0,-0.55558225,0
"538","epic",116711,2,"chris wedge",102,1e+08,107518682,"2013-05-15","Q2",0,0,0,1,1,0.07518682,0
"539","hide and seek",277796,3,"joanna coates",82,2.5e+07,51100486,"2014-06-20","Q1",1,0,0,0,0,1.04401944,1
"540","the skulls",11478,3,"rob cohen",106,1.5e+07,35007180,"2000-03-31","Q1",1,1,0,0,0,1.333812,1
"541","philomena",205220,1,"stephen frears",98,1.2e+07,37709979,"2013-11-01","Q4",1,0,0,0,0,2.14249825,1
"542","on the outs",78307,3,"lori silverbush",86,250000,49772,"2004-09-11","Q3",1,0,0,0,0,-0.800912,0
"543","rock of ages",80585,3,"adam shankman",123,7e+07,38518613,"2012-06-13","Q2",1,0,1,0,1,-0.4497341,0
"544","freeheld",306745,1,"peter sollett",103,7e+06,546201,"2015-10-02","Q4",1,0,0,0,0,-0.921971285714286,0
"545","smurfs the lost village",137116,1,"kelly asbury",89,6e+07,45020282,"2017-03-23","Q1",0,0,0,1,1,-0.249661966666667,0
"546","save the last dance",9816,1,"thomas carter",112,1.3e+07,91038276,"2001-01-12","Q1",1,0,1,0,1,6.00294430769231,1
"547","the business of strangers",31064,1,"patrick stettner",84,6e+06,1030920,"2001-01-19","Q4",1,1,0,0,0,-0.82818,0
"548","circle",335866,3,"aaron hann",87,2e+06,10024,"2015-10-02","Q3",0,1,0,0,1,-0.994988,0
"549","justin bieber never say never",54518,3,"jon m chu",105,1.3e+07,73013910,"2011-02-11","Q1",0,0,1,0,1,4.61645461538462,1
"550","revenge of the green dragons",286709,3,"andrew lau",94,5e+06,2500,"2014-03-15","Q4",1,0,0,1,0,-0.9995,0
"551","mutual appreciation",40769,3,"andrew bujalski",109,30000,103509,"2005-03-01","Q3",1,0,0,0,1,2.4503,1
"552","the open road",24663,3,"michael meredith",90,1e+07,19716,"2009-02-07","Q3",1,0,0,0,1,-0.9980284,0
"553","super capers",20177,3,"ray griggs",98,2e+06,30955,"2009-01-01","Q1",0,0,0,1,1,-0.9845225,0
"554","superstar",122083,3,"xavier giannoli",112,1.4e+07,30628981,"2012-08-27","Q4",1,0,0,0,1,1.18778435714286,1
"555","abduction",465044,3,"molly smith",90,3.5e+07,28087155,"2017-06-28","Q3",1,0,0,0,1,-0.197509857142857,0
"556","underworld",277,1,"len wiseman",121,2.2e+07,51970690,"2003-09-19","Q3",0,1,0,1,1,1.36230409090909,1
"557","blue crush",9266,3,"john stockwell",104,3e+07,40118420,"2002-08-08","Q3",0,0,0,1,1,0.337280666666667,0
"558","funny ha ha",33693,3,"andrew bujalski",85,30000,77070,"2002-09-20","Q2",1,0,0,0,1,1.569,1
"559","a little bit of heaven",45156,1,"nicole kassell",106,12500000,10011,"2011-02-03","Q1",1,0,0,0,1,-0.99919912,0
"560","raising helen",4599,1,"garry marshall",119,5e+07,37485528,"2004-05-27","Q2",1,0,0,0,1,-0.25028944,0
"561","side effects",7871,2,"kathleen slattery moschkau",90,2e+05,44701,"2005-03-07","Q3",1,0,0,0,1,-0.776495,0
"562","cinderella",289673,3,"beeban kidron",90,2900000,8.5e+07,"2000-01-01","Q1",0,0,0,0,0,28.3103448275862,1
"563","step up revolution",85446,3,"scott speer",99,3.3e+07,35074677,"2012-07-26","Q3",1,0,1,0,0,0.062869,0
"564","paranormal activity 4",82990,3,"henry joost",95,5e+06,53900335,"2012-10-17","Q4",0,1,0,0,0,9.780067,1
"565","abandon",15992,1,"stephen gaghan",99,2.5e+07,10719367,"2002-10-14","Q4",1,1,0,0,0,-0.57122532,0
"566","pieces of april",1550,1,"peter hedges",81,3e+05,2528664,"2003-01-19","Q4",1,0,0,0,1,7.42888,1
"567","standing ovation",55567,3,"stewart raffill",105,5600000,531806,"2010-07-16","Q3",0,0,1,0,1,-0.905034642857143,0
"568","hardball",20857,1,"brian robbins",106,2.1e+07,40222729,"2001-09-14","Q3",1,0,0,0,1,0.915368047619048,0
"569","the replacements",10393,1,"howard deutch",118,5e+07,44737059,"2000-08-07","Q3",0,0,0,0,1,-0.10525882,0
"570","john wick",245891,1,"chad stahelski",101,3e+07,43037835,"2014-10-22","Q4",0,1,0,1,0,0.4345945,0
"571","a dangerous method",48231,1,"david cronenberg",99,2e+07,5702083,"2011-09-30","Q4",1,1,0,0,0,-0.71489585,0
"572","whale rider",1088,3,"niki caro",101,4300000,20779666,"2003-01-30","Q2",1,0,0,0,1,3.83248046511628,1
"573","brotherly love",295886,2,"jamal hill",89,1900000,478595,"2015-04-24","Q2",1,0,0,0,0,-0.748107894736842,0
"574","the road to el dorado",10501,3,"don michael paul",89,9.5e+07,50802661,"2000-03-31","Q1",0,0,0,1,1,-0.465235147368421,0
"575","letters from iwo jima",1251,3,"clint eastwood",141,1.3e+07,13756082,"2006-12-19","Q4",1,0,1,1,1,0.0581601538461538,0
"576","cop car",310133,1,"jon watts",86,5e+06,134552,"2015-08-07","Q3",0,1,0,0,0,-0.9730896,0
"577","hollow man",9383,1,"paul verhoeven",112,9e+07,73209340,"2000-08-04","Q3",0,1,0,1,1,-0.186562888888889,0
"578","death sentence",11835,1,"james wan",105,2e+07,9534258,"2007-08-31","Q3",1,1,0,1,0,-0.5232871,0
"579","3 days to kill",192102,1,"mcg",113,2.8e+07,30697999,"2014-02-14","Q1",1,1,0,1,0,0.0963571071428571,0
"580","open range",2055,1,"kevin costner",139,2.6e+07,58331254,"2003-08-29","Q3",0,0,0,1,0,1.24350976923077,1
"581","black or white",253331,1,"mike binder",121,9e+06,21571189,"2014-09-06","Q1",1,0,0,0,0,1.39679877777778,1
"582","an american carol",13948,3,"david zucker",83,2e+07,7013191,"2008-10-03","Q4",0,0,0,0,1,-0.64934045,0
"583","about last night",222899,3,"steve pink",100,1.3e+07,48637684,"2014-02-14","Q1",1,0,0,0,1,2.74136030769231,1
"584","ride along 2",323675,3,"tim story",102,4e+07,90862685,"2016-01-14","Q1",0,0,0,1,1,1.271567125,1
"585","kevin hart let me explain",181330,3,"leslie small",74,2500000,32244051,"2013-07-03","Q3",0,0,1,0,1,11.8976204,1
"586","kevin hart laugh at my pain",74510,3,"tim story",89,750000,7706436,"2011-09-09","Q3",0,0,1,0,1,9.275248,1
"587","kevin hart what now ",339927,3,"tim story",96,1e+07,23591043,"2016-10-14","Q4",0,0,0,0,1,1.3591043,1
"588","life as a house",11457,3,"irwin winkler",125,1.8e+07,15652637,"2001-10-25","Q4",1,0,0,0,0,-0.130409055555556,0
"589","trade",4170,3,"marco kreuzpaintner",120,1.2e+07,214202,"2007-01-23","Q3",1,1,0,0,0,-0.982149833333333,0
"590","the emperor s club",17187,3,"michael hoffman",108,12500000,14060950,"2002-11-22","Q4",1,0,0,0,0,0.124876,0
"591","deterrence",25212,3,"rod lurie",101,8e+05,144583,"2000-03-10","Q1",1,1,0,1,0,-0.81927125,0
"592","casino jack",45324,1,"george hickenlooper",108,12500000,2039869,"2010-09-16","Q4",1,0,0,0,1,-0.83681048,0
"593","pay it forward",10647,1,"mimi leder",122,4e+07,33508922,"2000-10-12","Q4",1,0,0,0,0,-0.16227695,0
"594","the life of david gale",11615,1,"alan parker",130,5e+07,19694635,"2003-02-21","Q1",1,1,0,0,0,-0.6061073,0
"595","bless the child",10391,1,"chuck russell",107,4e+07,29374178,"2000-08-11","Q3",1,1,0,0,0,-0.26564555,0
"596","i dreamed of africa",21311,1,"hugh hudson",114,3.4e+07,6543194,"2000-05-05","Q2",1,0,0,1,1,-0.807553117647059,0
"597","almost christmas",340402,3,"david e talbert",111,1.7e+07,42065185,"2016-11-11","Q4",1,0,0,0,1,1.47442264705882,1
"598","woman thou art loosed",44634,3,"michael schultz",94,3e+06,6879730,"2004-09-30","Q4",1,0,0,0,0,1.29324333333333,1
"599","amen",155096,3,"kim ki duk",72,1.4e+07,274299,"2011-12-08","Q1",1,0,0,0,0,-0.980407214285714,0
"600","driven",10477,3,"renny harlin",116,7.2e+07,32616869,"2001-04-27","Q2",0,0,0,1,0,-0.546987930555556,0
"601","left behind",37302,3,"vic sarin",96,18500000,4221341,"2000-10-30","Q1",1,1,0,0,1,-0.771819405405405,0
"602","fireproof",14438,3,"alex kendrick",122,5e+05,33456317,"2008-09-26","Q3",1,0,0,0,0,65.912634,1
"603","bring it on",1588,2,"peyton reed",98,1e+07,68353550,"2000-08-25","Q3",0,0,0,0,1,5.835355,1
"604","crazy beautiful",10691,2,"john stockwell",99,1.3e+07,16929123,"2001-06-29","Q2",1,0,0,0,0,0.302240230769231,0
"605","pompeii",76649,2,"paul w s anderson",105,8e+07,23169033,"2014-02-18","Q1",1,0,1,1,1,-0.7103870875,0
"606","krisha",323929,3,"trey edward shults",81,30000,144822,"2016-03-18","Q1",1,0,0,0,1,3.8274,1
"607","twilight",8966,2,"catherine hardwicke",122,2e+07,15055091,"2008-11-20","Q1",1,0,0,1,1,-0.24724545,0
"608","street fighter the legend of chun li",15268,3,"andrzej bartkowiak",97,5e+07,8742261,"2009-02-27","Q1",0,1,0,1,1,-0.82515478,0
"609","nomad",19495,3,"sergei bodrov jr",112,4e+07,79123,"2005-07-17","Q1",0,0,1,1,0,-0.998021925,0
"610","miracle",14292,2,"gavin o connor",135,2.8e+07,64378093,"2004-02-06","Q1",1,0,1,0,0,1.29921760714286,1
"611","the young and prodigious t s spivet",157841,3,"jean pierre jeunet",105,3.3e+07,176847,"2013-10-16","Q3",1,0,0,1,1,-0.994641,0
"612","non stop",240913,3,"richard gabai",90,5e+07,91742160,"2013-11-29","Q1",1,1,0,0,0,0.8348432,0
"613","red riding hood",44507,3,"randal kleiser",84,4.2e+07,37662162,"2006-06-27","Q1",0,1,0,0,1,-0.103281857142857,0
"614","on the line",34043,3,"eric bross",85,1e+07,4365455,"2001-10-26","Q4",1,0,0,0,1,-0.5634545,0
"615","the invitation",202171,2,"pat bermel",85,1e+06,231738,"2003-12-23","Q2",1,1,0,0,0,-0.768262,0
"616","digimon the movie",20455,3,"mamoru hosoda",82,5e+06,9628751,"2000-03-17","Q4",0,0,0,0,1,0.9257502,0
"617","whatever works",19265,3,"woody allen",92,1.5e+07,5306706,"2009-06-19","Q2",1,0,0,0,1,-0.6462196,0
"618","lisa picard is famous",206412,3,"griffin dunne",90,1e+06,113433,"2000-05-14","Q3",0,0,0,0,0,-0.886567,0
"619","you can count on me",14295,1,"kenneth lonergan",111,1200000,9180275,"2000-11-17","Q4",1,0,0,0,0,6.65022916666667,1
"620","the kitchen",137683,3,"ishai setton",79,3.8e+07,12180032,"2012-08-13","Q3",1,0,0,0,1,-0.679472842105263,0
"621","the real cancun",19153,3,"rick de oliveira",96,4e+06,3816594,"2003-04-23","Q2",0,0,1,0,0,-0.0458515,0
"622","the divide",38541,3,"xavier gens",112,3e+06,18000,"2011-03-13","Q1",1,1,0,0,1,-0.994,0
"623","here on earth",13539,3,"mark piznarski",96,1.5e+07,10494147,"2000-03-23","Q1",1,0,0,0,0,-0.3003902,0
"624","the glass house",2176,3,"daniel sackheim",106,2.2e+07,17951431,"2001-09-14","Q3",1,1,0,0,0,-0.184025863636364,0
"625","tiny furniture",47607,3,"lena dunham",99,50000,391674,"2010-11-12","Q4",1,0,0,0,1,6.83348,1
"626","morgan",151693,3,"michael d akers",89,8e+06,3915251,"2012-01-07","Q3",1,0,0,0,0,-0.510593625,0
"627","j edgar",88794,1,"clint eastwood",137,3.5e+07,37306030,"2011-11-09","Q4",1,0,1,0,0,0.0658865714285714,0
"628","unaccompanied minors",18147,3,"paul feig",90,2.5e+07,16655224,"2006-12-08","Q4",0,0,0,0,1,-0.33379104,0
"629","the way way back",147773,3,"jim rash",103,5e+06,21502690,"2013-06-06","Q3",1,0,0,0,1,3.300538,1
"630","taken 2",82675,1,"olivier megaton",91,4.5e+07,139854287,"2012-09-27","Q3",1,1,0,1,0,2.10787304444444,1
"631","a walk among the tombstones",169917,1,"scott frank",113,2.8e+07,26017685,"2014-09-18","Q3",1,1,0,0,0,-0.0707969642857143,0
"632","the mortal instruments city of bones",123553,3,"harald zwart",130,6e+07,31165421,"2013-08-21","Q3",1,1,0,1,1,-0.480576316666667,0
"633","margaret",43721,3,"james kent",113,1.4e+07,47185,"2009-03-26","Q3",1,0,0,0,1,-0.996629642857143,0
