"","X","original_title","id","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","success_1_to_1"
"71",1126,"men of honor",11978,2000-09-13,"robertdeniro","georgetillman",4,1,129,3.2e+07,48814909,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"72",191,"bait",14805,2000-09-14,"jamiefoxx","antoinefuqua",0,1,119,3.5e+07,15325127,"Q3",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"73",2217,"urban legends final cut",12212,2000-09-19,"jennifermorrison","johnottman",0,0,97,1.5e+07,21468807,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"74",1855,"the house of mirth",25520,2000-09-23,"gilliananderson","terencedavies",0,0,140,1e+07,3041803,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"75",1407,"remember the titans",10637,2000-09-29,"denzelwashington","boazyakin",1,0,113,3e+07,115654751,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"76",702,"george washington",18292,2000-10-01,"candaceevanofski","davidgordongreen",0,1,89,42000,241816,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"77",194,"bamboozled",24664,2000-10-06,"damonwayans","spikelee",0,1,135,1e+07,2185266,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"78",1121,"meet the parents",1597,2000-10-06,"benstiller","jayroach",4,3,108,5.5e+07,166225040,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"79",1308,"peter pan",273106,2000-10-10,"cathyrigby","garyhalvorson",0,0,104,1e+08,48417850,"Q4",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"80",1122,"memento",77,2000-10-11,"guypearce","christophernolan",0,1,113,5e+06,25544867,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"81",1301,"pay it forward",10647,2000-10-12,"kevinspacey","mimileder",2,0,122,4e+07,33508922,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
