"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"823","hollow man","9383",2000-08-04,"kevinbacon",4,112,9e+07,73209340,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"2035","the replacements","10393",2000-08-07,"keanureeves",8,118,5e+07,44737059,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","autumn in new york","10641",2000-08-11,"richardgere",3,103,4e+07,37752931,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"264","bless the child","10391",2000-08-11,"kimbasinger",2,107,4e+07,29374178,"Q3",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"1984","the original kings of comedy","23618",2000-08-18,"steveharvey",1,115,3e+06,38168022,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1750","the crew","19150",2000-08-21,"richarddreyfuss",2,88,2.3e+07,13019253,"Q3",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1691","the art of war","11398",2000-08-23,"wesleysnipes",6,117,4e+07,30199105,"Q3",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"307","bring it on","1588",2000-08-25,"kirstendunst",3,98,1e+07,68353550,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244","o brother where art thou ","134",2000-08-30,"georgeclooney",6,106,2.6e+07,45506619,"Q4",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1240","nueve reinas","18079",2000-08-31,"ricardodarín",1,114,1500000,1222889,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"516","dinner rush","22617",2000-09-01,"dannyaiello",1,99,2e+06,638227,"Q3",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"2277","whipped","23531",2000-09-01,"amandapeet",1,82,3e+06,4142507,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1344","pollock","12509",2000-09-06,"edharris",3,122,6e+06,8596914,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"634","fiza","56666",2000-09-08,"hrithikroshan",1,170,1e+06,623791,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1241","nurse betty","10480",2000-09-08,"renéezellweger",1,108,2.4e+07,25170054,"Q3",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2109","the watcher","10685",2000-09-08,"jamesspader",4,96,3.3e+07,28946615,"Q3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"2112","the way of the gun","1619",2000-09-08,"beniciodeltoro",2,119,9e+06,6047856,"Q3",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"548","duets","18074",2000-09-09,"gwynethpaltrow",3,112,1.6e+07,4734235,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"205","beautiful","34299",2000-09-10,"minniedriver",2,112,9e+06,3134509,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1551","slow burn","158431",2000-09-12,"minniedriver",2,97,15500000,1237615,"Q2",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1126","men of honor","11978",2000-09-13,"robertdeniro",12,129,3.2e+07,48814909,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"191","bait","14805",2000-09-14,"jamiefoxx",2,119,3.5e+07,15325127,"Q3",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"2217","urban legends final cut","12212",2000-09-19,"jennifermorrison",1,97,1.5e+07,21468807,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1855","the house of mirth","25520",2000-09-23,"gilliananderson",2,140,1e+07,3041803,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
