"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"1008","latter days","15708",2003-07-10,"stevesandvoss",1,107,850000,833118,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2230","veronica guerin","10629",2003-07-11,"cateblanchett",3,98,1.7e+07,1569918,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"854","how to deal","17403",2003-07-18,"mandymoore",1,99,1.6e+07,14108518,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1004","lara croft tomb raider the cradle of life","1996",2003-07-21,"angelinajolie",4,117,9e+07,65653758,"Q3",0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"1488","seabiscuit","4464",2003-07-22,"jeffbridges",8,141,8.6e+07,120277854,"Q3",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"88","all the real girls","13132",2003-08-01,"paulschneider",1,108,1e+06,549666,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"107","american wedding","8273",2003-08-01,"jasonbiggs",2,103,5.5e+07,104354205,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"720","gigli","8046",2003-08-01,"benaffleck",10,121,5.4e+07,6087542,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"329","cabin fever","11547",2003-08-15,"riderstrong",1,93,1500000,21158188,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"667","freddy vs jason","6466",2003-08-15,"robertenglund",2,97,2.5e+07,82622655,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1195","my boss s daughter","2830",2003-08-21,"ashtonkutcher",3,83,1.4e+07,15549702,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1699","the battle of shaker heights","21413",2003-08-22,"shialabeouf",2,79,1e+06,280351,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"395","civil brand","30246",2003-08-29,"lisarayemccoy",2,95,5e+05,254293,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"1268","open range","2055",2003-08-29,"kevincostner",8,139,2.6e+07,58331254,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"412","code 46","2577",2003-09-02,"timrobbins",2,92,7500000,197148,"Q3",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"2200","undead","8991",2003-09-04,"felicitymason",1,97,750000,41196,"Q3",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"509","dickie roberts former child star","13778",2003-09-05,"davidspade",2,98,1.7e+07,22734486,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","21 grams","470",2003-09-06,"seanpenn",3,124,2e+07,16248701,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"2165","travellers and magicians","37232",2003-09-09,"tshewangdendup",1,108,1800000,506793,"Q1",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1258","once upon a time in mexico","1428",2003-09-11,"antoniobanderas",5,102,2.9e+07,56330657,"Q3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1490","secondhand lions","13156",2003-09-19,"michaelcaine",8,111,3e+07,42070939,"Q3",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2206","underworld","277",2003-09-19,"katebeckinsale",3,121,2.2e+07,51970690,"Q3",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"550","duplex","7288",2003-09-26,"benstiller",6,89,4e+07,9652000,"Q3",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"2047","the rundown","10159",2003-09-26,"dwaynejohnson",2,104,8.5e+07,47641743,"Q3",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1482","school of rock","1584",2003-10-03,"jackblack",3,108,2e+07,81261177,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"874","i love your work","25428",2003-10-05,"marisacoughlan",1,111,1600000,3264,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"1206","mystic river","322",2003-10-07,"seanpenn",3,138,3e+07,90135191,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"567","elf","10719",2003-10-09,"willferrell",3,97,3.2e+07,174626840,"Q4",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1382","radio","13920",2003-10-24,"cubagoodingjr",5,109,3.5e+07,52333738,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1480","scary movie 3","4256",2003-10-24,"pamelaanderson",1,84,4.5e+07,110000082,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2061","the singing detective","30141",2003-10-24,"robertdowneyjr",3,109,8e+06,336456,"Q4",0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"1954","the matrix revolutions","605",2003-11-05,"keanureeves",8,129,1.5e+08,139270910,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"748","gothika","4970",2003-11-21,"halleberry",2,98,4e+07,59588068,"Q4",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"1960","the missing","12146",2003-11-26,"tommyleejones",5,135,6.5e+07,26900336,"Q4",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"2139","timeline","9562",2003-11-26,"paulwalker",3,116,8e+07,19480739,"Q4",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1880","the invitation","202171",2003-12-23,"lancehenriksen",1,85,1e+06,231738,"Q2",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"1191","my baby s daddy","26710",2004-01-09,"eddiegriffin",4,86,1.2e+07,17321573,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1639","super size me","9372",2004-01-17,"morganspurlock",1,100,65000,11529368,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"1471","saved ","13193",2004-01-21,"jenamalone",1,92,5e+06,8886160,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2290","win a date with tad hamilton ","13476",2004-01-23,"joshduhamel",2,95,2.4e+07,16980098,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2317","you got served","14114",2004-01-30,"marqueshouston",1,95,8e+06,40066497,"Q1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1152","miracle","14292",2004-02-06,"kurtrussell",6,135,2.8e+07,64378093,"Q1",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"304","bride prejudice","57825",2004-02-11,"aishwaryaraibachchan",1,111,7e+06,6601079,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"582","eternal sunshine of the spotless mind","38",2004-03-19,"jimcarrey",7,108,2e+07,34366518,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"1384","raising helen","4599",2004-05-27,"katehudson",2,119,5e+07,37485528,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"57","agent cody banks 2 destination london","17047",2004-06-24,"frankiemuniz",3,100,2.6e+07,23514247,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604","fahrenheit 9 11","1777",2004-06-25,"robertdeniro",12,122,6e+06,119114517,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1603","steamboy","8953",2004-07-17,"annesuzuki",1,126,2e+07,468867,"Q1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1272","open water","83",2004-08-06,"blanchardryan",1,79,5e+05,30500882,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2018","the princess diaries 2 royal engagement","11130",2004-08-06,"annehathaway",4,113,4.5e+07,95149435,"Q3",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1634","superbabies baby geniuses 2","31117",2004-08-27,"jonvoight",1,88,2e+07,9109322,"Q3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"399","clean","39851",2004-09-01,"maggiecheung",1,111,10000,138711,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"228","being julia","18701",2004-09-03,"michaelgambon",1,104,1.8e+07,7739049,"Q4",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1266","on the outs","78307",2004-09-11,"judymarte",1,86,250000,49772,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"875","imaginary heroes","25350",2004-09-14,"sigourneyweaver",3,111,1e+07,228524,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"333","cama adentro","78705",2004-09-21,"normaaleandro",1,83,8e+05,200433,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1525","show me","157909",2004-09-23,"michellenolden",1,97,4e+05,34513500.7541806,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1911","the last shot","26486",2004-09-24,"matthewbroderick",4,90,4e+07,463730,"Q3",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2301","woman thou art loosed","44634",2004-09-30,"kimberlyelise",2,94,3e+06,6879730,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1476","saw","176",2004-10-01,"caryelwes",2,103,1200000,55968727,"Q4",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"1361","primer","14337",2004-10-08,"shanecarruth",1,77,7000,424760,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"2215","unstoppable","23520",2004-10-20,"wesleysnipes",6,96,9.5e+07,81562942,"Q4",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"738","going under","235708",2004-10-21,"genolechner",1,98,5e+05,34513500.7541806,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2227","veer zaara","4251",2004-11-12,"shahrukhkhan",2,192,7e+06,2938532,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2120","the work and the glory","36046",2004-11-24,"samhennings",1,110,7500000,3347647,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"258","blade trinity","36648",2004-12-08,"wesleysnipes",6,123,6.5e+07,52397389,"Q4",0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
"1149","million dollar baby","70",2004-12-15,"clinteastwood",11,132,3e+07,100492203,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1574","spanglish","2539",2004-12-17,"adamsandler",9,130,7.5e+07,42044321,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1806","the game of their lives","29078",2005-01-01,"gerardbutler",3,101,2e+07,375474,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2019","the prodigy","20270",2005-01-01,"holtboggs",1,120,6e+06,14856291,"Q1",0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"1428","rize","2287",2005-01-15,"christophertoler",1,86,7e+05,3278611,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2021","the puffy chair","24055",2005-01-17,"markduplass",1,85,15000,194523,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1350","pooh s heffalump movie","13682",2005-02-11,"jimcummings",1,68,2e+07,18098433,"Q1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","because of winn dixie","17880",2005-02-18,"jeffdaniels",3,106,1.5e+07,32647042,"Q1",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1098","man of the house","13498",2005-02-25,"tommyleejones",5,100,5e+07,19699706,"Q1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1190","mutual appreciation","40769",2005-03-01,"justinrice",1,109,30000,103509,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1526","side effects","7871",2005-03-07,"katherineheigl",1,90,2e+05,44701,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1439","robots","9928",2005-03-10,"robinwilliams",7,91,8e+07,128200012,"Q1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1698","the ballad of jack and rose","17113",2005-03-25,"danieldaylewis",4,111,1500000,712294,"Q1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2222","valiant","14175",2005-03-25,"ewanmcgregor",3,76,3.5e+07,19478106,"Q3",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"804","hercules","22211",2005-04-01,"leeleesobieski",3,240,7e+07,99112101,"Q2",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1534","sin city","187",2005-04-01,"jessicaalba",4,124,4e+07,74103820,"Q2",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"979","king s ransom","27360",2005-04-22,"anthonyanderson",1,95,2.5e+07,4008527,"Q2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1478","say uncle","123879",2005-07-10,"peterpaige",1,91,2e+06,5361,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"369","charlie and the chocolate factory","118",2005-07-13,"johnnydepp",10,115,1.5e+08,206459076,"Q3",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1230","nomad","19495",2005-07-17,"kunobecker",1,112,4e+07,79123,"Q1",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"1184","murderball","14278",2005-07-22,"joebishop",1,88,350000,1531154,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"957","junebug","1444",2005-08-03,"embethdavidtz",1,106,1e+06,2678010,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2178","trust the man","14057",2005-09-01,"davidduchovny",4,103,9e+06,1530535,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"311","bubble","14788",2005-09-03,"debbiedoebereiner",1,73,1600000,145382,"Q1",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"1932","the lost city","9700",2005-09-03,"andygarcía",2,144,9600000,2484186,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"438","corpse bride","3933",2005-09-09,"johnnydepp",10,77,3e+07,53359111,"Q3",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"474","dave chappelle s block party","292",2005-09-12,"davechappelle",1,100,3e+06,11718595,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"382","chocolate deep dark secrets","20296",2005-09-16,"anilkapoor",1,200,1e+06,49000,"Q3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"59","a history of violence","59",2005-09-23,"viggomortensen",3,96,3.2e+07,31493782,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"1447","roll bounce","14544",2005-09-23,"nickcannon",1,112,1e+07,17380866,"Q3",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1827","the greatest game ever played","15487",2005-09-30,"shialabeouf",2,120,2.5e+07,15331289,"Q3",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"619","fetching cody","46729",2005-10-01,"jaybaruchel",1,87,1500000,34513500.7541806,"Q1",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"1112","maurice richard","49081",2005-10-25,"roydupuis",1,124,8e+06,34513500.7541806,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1058","lonesome jim","7301",2005-11-16,"caseyaffleck",5,91,5e+05,154187,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"366","chain reaction","40465",2006-01-01,"christopherkriesa",1,101,5.5e+07,21226204,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"905","iraq for sale the war profiteers","40862",2006-01-01,"shereefakeel",1,75,775000,34513500.7541806,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"918","i want someone to eat cheese with","13066",2006-01-01,"jeffgarlin",1,80,1500000,194568,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"943","jimmy and judy","18869",2006-01-01,"edwardfurlong",2,99,1e+06,34513500.7541806,"Q3",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"998","lage raho munna bhai","21461",2006-01-01,"sanjaydutt",1,144,2700000,2217561,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1314","phat girlz","30139",2006-01-01,"monique",1,99,3e+06,7061128,"Q2",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"419","come early morning","7547",2006-01-10,"ashleyjudd",4,97,6e+06,119452,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2293","winter passing","14256",2006-02-07,"zooeydeschanel",1,98,3500000,107492,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2","10th wolf","13197",2006-02-19,"jamesmarsden",2,107,8e+06,54702,"Q3",0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"530","doogal","24432",2006-02-24,"danieltay",1,85,2e+07,7578946,"Q1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1080","lucky number slevin","186",2006-02-24,"joshhartnett",1,110,2.7e+07,22495466,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"1052","lol","44434",2006-03-13,"joeswanberg",1,81,1.1e+07,34513500.7541806,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"868","ice age the meltdown","950",2006-03-23,"rayromano",4,91,7.5e+07,195330621,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1302","peaceful warrior","13689",2006-03-30,"scottmechlowicz",1,120,1e+07,2893666,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1550","slither","9035",2006-03-31,"nathanfillion",1,95,15250000,7802450,"Q1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"882","in her line of fire","56491",2006-04-21,"marielhemingway",2,88,1e+06,884,"Q2",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"885","inside out","51938",2006-04-22,"eriqlasalle",1,90,1.75e+08,356461711,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"94","alone with her","18206",2006-04-28,"colinhanks",2,78,1e+06,10787,"Q1",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"968","keeping up with the steins","21014",2006-05-12,"darylsabara",1,90,5e+06,4339241,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1296","paris je t aime","2266",2006-05-16,"stevebuscemi",3,120,1.3e+07,4857374,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2002","the pet","52462",2006-05-17,"pierredulat",1,94,1e+06,34513500.7541806,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"434","conversations with other women","15624",2006-06-07,"helenabonhamcarter",2,84,450000,379418,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"491","deliver us from evil","13364",2006-06-24,"oliverogrady",1,101,3e+07,30577122,"Q3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"2310","wordplay","35199",2006-06-26,"willshortz",1,94,5e+05,3121270,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1401","red riding hood","44507",2006-06-27,"lainiekazan",1,84,4.2e+07,37662162,"Q1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2243","wanderlust","54040",2006-07-12,"allisonanders",1,84,32500000,17288155,"Q1",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
"362","chacun sa nuit","12838",2006-07-21,"lizziebrocheré",1,95,1900000,18435,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2282","who killed the electric car ","13508",2006-08-04,"martinsheen",2,92,1e+06,1678874,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"824","holly","43638",2006-08-16,"ronlivingston",2,114,3e+06,163069,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1001","lake of fire","44260",2006-09-09,"noamchomsky",1,152,6e+06,25317,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"437","copying beethoven","1590",2006-09-10,"edharris",3,104,1.1e+07,355968,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1514","sharkwater","13894",2006-09-11,"patrickmoore",1,89,2e+06,850920,"Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"603","facing the giants","18925",2006-09-29,"jamesblackwell",1,111,1e+05,10178331,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1073","love s abiding joy","22488",2006-10-06,"erincottrell",1,87,3e+06,252726,"Q4",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"25","51 birch street","79161",2006-10-18,"carolblock",1,90,350000,84689,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"609","faith like potatoes","29697",2006-10-27,"frankrautenbach",1,97,1100000,34513500.7541806,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1484","scott walker 30 century man","30867",2006-10-31,"scottwalker",1,95,5e+05,6840,"Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"658","for your consideration","14799",2006-11-22,"catherineohara",1,86,1.2e+07,5549923,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1057","london to brighton","14823",2006-12-01,"georgiagroome",1,85,825000,34513500.7541806,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"2135","thr3e","13569",2006-12-01,"marcblucas",1,101,2400000,1008849,"Q1",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"2199","unaccompanied minors","18147",2006-12-08,"lewisblack",1,90,2.5e+07,16655224,"Q4",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","arthur et les minimoys","9992",2006-12-13,"freddiehighmore",1,94,8e+07,15132763,"Q1",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1023","letters from iwo jima","1251",2006-12-19,"kenwatanabe",1,141,1.3e+07,13756082,"Q4",0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"108","a mighty heart","1988",2007-01-01,"angelinajolie",4,100,1.5e+07,9176787,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"984","kiss the bride","19844",2007-01-01,"torispelling",1,100,5e+05,32033,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1395","redacted","11600",2007-01-01,"izzydiaz",1,90,5e+06,65388,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1923","the living wake","43653",2007-01-01,"jesseeisenberg",4,91,5e+05,12232,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413","code name the cleaner","14396",2007-01-05,"cedrictheentertainer",1,84,2e+07,8135024,"Q1",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"898","in the shadow of the moon","14284",2007-01-19,"buzzaldrin",1,109,2e+06,1134358,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2157","trade","4170",2007-01-23,"kevinkline",3,120,1.2e+07,214202,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1822","the good night","13501",2007-01-25,"penélopecruz",2,93,1.5e+07,22441,"Q4",0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"218","because i said so","1257",2007-02-02,"dianekeaton",2,102,3.9e+07,42674040,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484","death at a funeral","2196",2007-02-09,"matthewmacfadyen",1,90,2.1e+07,42739347,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2058","the signal","13059",2007-02-22,"anessaramsey",1,103,50000,251150,"Q1",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
"2142","tmnt","1273",2007-03-23,"chrisevans",4,90,3.5e+07,54149098,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1207","namastey london","20360",2007-03-27,"akshaykumar",3,128,8400000,1207007,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1838","the hammer","14014",2007-04-01,"adamcarolla",2,88,850000,442638,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2031","the reaping","1683",2007-04-05,"hilaryswank",3,99,4e+07,25126214,"Q2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"1369","purple violets","20065",2007-04-30,"selmablair",1,103,4e+06,34513500.7541806,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"703","georgia rule","13159",2007-05-11,"janefonda",1,113,2e+07,18882880,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1610","stomp the yard","1931",2007-05-16,"columbusshort",1,114,1.4e+07,61356221,"Q1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"2195","u2 3d","37003",2007-05-19,"bono",1,85,1.5e+07,12898847,"Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"752","gracie","15568",2007-06-01,"jesseleesoffer",1,97,9e+06,2956339,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1825","the grand","15378",2007-06-07,"woodyharrelson",3,104,3e+06,115879,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1441","rockaway","20406",2007-07-07,"nicholasgonzalez",1,76,2e+06,34513500.7541806,"Q3",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"688","frozen","170986",2007-07-21,"dannydenzongpa",1,110,1.5e+08,400738009,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2060","the simpsons movie","35",2007-07-25,"dancastellaneta",1,87,72500000,183135014,"Q3",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1226","no end in sight","12901",2007-07-27,"campbellscott",1,102,2e+06,1433319,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2283","who s your caddy ","15581",2007-07-27,"mickpartridge",1,93,7e+06,5694308,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
