"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime","cleaned title"
"20826","24133","0","comedy","one eyed monster",NA,2008-11-11,0,84,"oneeyedmonster"
"20828","36549","0","drama","yesterday was a lie",NA,2008-01-01,0,89,"yesterdaywasalie"
"20829","130804","0","documentary","последната линейка на софия","SIA Advertising",2012-05-23,0,75,"последнаталинейканасофия"
"20830","109414","32000000","action","this is the end","Columbia Pictures",2013-06-12,126041322,107,"thisistheend"
"20831","68721","200000000","action","iron man 3","Marvel Studios",2013-04-18,1215439994,130,"ironman3"
"20832","18089","0","drama","miss austen regrets","British Broadcasting Corporation (BBC)",2008-02-03,0,90,"missaustenregrets"
"20834","128201","0","documentary","revolution",NA,2013-04-12,0,90,"revolution"
"20836","19688","0","comedy","middle of nowhere","Bold Films",2008-09-06,0,95,"middleofnowhere"
"20837","166076","0","animation","superman unbound","DC Comics",2013-05-06,2915767,75,"supermanunbound"
"20839","36229","0","romance","3 kälter",NA,2006-03-16,0,104,"3kälter"
"20840","77234","10000000","action","the numbers station","Matador Pictures",2013-04-18,0,90,"thenumbersstation"
"20841","174321","0","comedy","the english teacher","Artina Films",2013-05-16,104810,91,"theenglishteacher"
"20842","179154","6000000","drama","standing up","AR Films",2013-08-16,0,93,"standingup"
"20843","91073","6200000","drama","만추","North by Northwest Entertainment",2010-09-10,4820000,113,"만추"
"20844","77221","40000000","adventure","black gold","France 2 Cinéma",2011-12-21,5446000,130,"blackgold"
"20846","23705","0","action","a better way to die","Newmarket Capital Group",2000-01-01,0,96,"abetterwaytodie"
"20848","20181","8000000","action","tunnel rats","Boll KG",2008-05-31,0,92,"tunnelrats"
"20851","103731","10000000","drama","mud","FilmNation Entertainment",2013-05-01,21587700,130,"mud"
"20852","82662","0","drama","l industriale",NA,2011-01-13,0,94,"lindustriale"
"20855","19989","0","action","aces n eights",NA,2008-03-15,0,86,"acesneights"
"20856","96279","0","drama","after the storm",NA,2001-08-17,0,99,"afterthestorm"
"20861","52225","0","drama","majesteit",NA,2010-10-28,0,100,"majesteit"
"20862","70057","0","drama","武俠","Dingsheng Cultural Industry Investment",2011-07-04,0,115,"武俠"
"20864","159011","0","documentary","manhunt the inside story of the hunt for bin laden","HBO Films",2013-01-20,0,100,"manhunttheinsidestoryofthehuntforbinladen"
"20865","110272","0","drama","cheerful weather for the wedding",NA,2012-12-07,0,93,"cheerfulweatherforthewedding"
"20866","95755","2000000","comedy","small apartments","Deviant Films",2012-03-10,0,96,"smallapartments"
"20870","26693","0","horror","呪怨 白い老女","Cell",2009-06-27,0,61,"呪怨白い老女"
"20871","36917","0","horror","呪怨 黒い少女","Cell",2009-06-27,0,60,"呪怨黒い少女"
"20874","101501","180000","horror","the afflicted",NA,2011-10-22,175742,85,"theafflicted"
"20875","165739","83000000","crime","pawn","Imprint Entertainment",2013-04-23,0,88,"pawn"
"20876","53101","0","horror","manborg","Astron-6 Video International",2011-09-22,0,75,"manborg"
"20877","25272","0","action","bajo la sal",NA,2008-10-17,0,0,"bajolasal"
"20879","172631","0","comedy","family weekend","Bedford Falls Company, The",2013-03-28,0,105,"familyweekend"
"20880","105787","0","documentary","the woman who wasn t there",NA,2012-04-13,0,65,"thewomanwhowasntthere"
"20882","139463","0",NA,"the scapegoat","Island Pictures",2012-09-09,0,100,"thescapegoat"
"20883","127728","0","drama","8 46",NA,2011-09-11,0,50,"846"
"20884","98541","0","documentary","hungry for change",NA,2012-01-01,0,89,"hungryforchange"
"20890","40852","0","action","american bandits frank and jesse james",NA,2010-05-18,0,88,"americanbanditsfrankandjessejames"
