"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime","cleaned title"
"20895","14921","0","drama","three and out","Worldwide Bonus Entertainment",2008-10-12,0,110,"threeandout"
"20896","94901","2500000","drama","about cherry","Gordon Bijelonic / Datari Turner Films",2012-02-14,3003,102,"aboutcherry"
"20897","60540","2000000","thriller","sushi girl",NA,2012-12-07,0,98,"sushigirl"
"20898","77439","0","drama","where the road meets the sun",NA,2011-06-29,0,90,"wheretheroadmeetsthesun"
"20901","191024","75000","documentary","the arrested development documentary project",NA,2013-05-02,0,75,"thearresteddevelopmentdocumentaryproject"
"20904","21522","0","thriller","da lao ai mei li","JCE Entertainment Ltd,",2004-04-08,0,104,"dalaoaimeili"
"20905","72525","6000000","drama","syrup","Lila 9th Productions",2013-06-07,0,90,"syrup"
"20908","82501","0","thriller","la femme du vème","Haut et Court",2011-11-16,0,85,"lafemmeduvème"
"20911","64682","105000000","drama","the great gatsby","Village Roadshow Pictures",2013-05-10,351040419,143,"thegreatgatsby"
"20912","26293","0","drama","hurt","High Treason Productions",2009-11-10,0,96,"hurt"
"20916","128847","0","documentary","lesson plan",NA,2010-10-09,0,76,"lessonplan"
"20920","31715","0","documentary","a huey p newton story","40 Acres & A Mule Filmworks",2001-06-18,0,86,"ahueypnewtonstory"
"20921","137474","0",NA,"an affair of the heart",NA,2012-04-14,0,93,"anaffairoftheheart"
"20922","84391","0","horror","my sucky teen romance",NA,2011-03-15,0,77,"mysuckyteenromance"
"20923","54138","190000000","action","star trek into darkness","Paramount Pictures",2013-05-05,467365246,132,"startrekintodarkness"
"20925","208700","0","comedy","ボクたちの交換日記","Showgate",2013-03-22,0,115,"ボクたちの交換日記"
"20927","166773","0","comedy","andrew dice clay indestructible","ShowTime",2012-12-31,0,57,"andrewdiceclayindestructible"
"20928","278111","3500000","thriller","angels don t sleep here","Silverline Pictures",2002-04-02,0,88,"angelsdontsleephere"
"20929","137499","0",NA,"foreverland",NA,2012-06-15,0,93,"foreverland"
"20930","60270","0","drama","wish you were here","Entertainment One",2012-04-26,0,93,"wishyouwerehere"
"20931","39319","0","action","テイルズ オブ ヴェスペリア the first strike ","Bandai Visual Company",2009-10-03,0,110,"テイルズオブヴェスペリアthefirststrike"
"20932","123431","0","music","reincarnated",NA,2012-11-11,0,98,"reincarnated"
"20933","116741","58000000","comedy","the internship","Twentieth Century Fox Film Corporation",2013-06-07,4.4e+07,119,"theinternship"
"20934","23112","0","drama","mutluluk","ANS Production",2007-03-16,0,105,"mutluluk"
"20937","82594","0","documentary","spine tingler the william castle story",NA,2007-11-08,0,82,"spinetinglerthewilliamcastlestory"
"20939","235373","0","horror","el bosque de los sometidos",NA,2012-07-17,0,80,"elbosquedelossometidos"
"20941","39386","0","comedy","l enquête corse","Gaumont",2004-10-06,0,92,"lenquêtecorse"
"20943","21862","0","comedy","deep in the valley","Persistent Entertainment",2009-08-28,0,87,"deepinthevalley"
"20944","149101","0","family","koning van katoren","Kasander Film Company",2012-12-05,0,120,"koningvankatoren"
"20947","37269","0","comedy","my fake fiance","Hartbreak Films",2009-04-19,0,95,"myfakefiance"
"20951","74460","0","comedy","aries spears hollywood look i m smiling","Codeblack Entertainment",2011-03-22,0,64,"ariesspearshollywoodlookimsmiling"
"20952","139933","0","thriller","kiss of the damned","Venture Forth",2012-11-07,14752,95,"kissofthedamned"
"20953","128216","0","documentary","stories we tell","National Film Board of Canada (NFB)",2012-10-12,0,108,"storieswetell"
"20954","16150","0","documentary","darkon","SeeThink Films",2006-09-12,0,93,"darkon"
"20955","39333","0","comedy","180 south",NA,2010-02-10,0,86,"180south"
"20958","97686","0","documentary","the jeffrey dahmer files","Good / Credit Productions",2013-02-15,0,76,"thejeffreydahmerfiles"
"20959","38875","0","thriller","senność","Vision",2008-10-17,0,0,"senność"
"20960","156236","0","drama","alceste à bicyclette","France 2 Cinéma",2013-01-16,10759874,104,"alcesteàbicyclette"
"20961","168676","0","war","company of heroes","Destination Films",2013-02-25,0,100,"companyofheroes"
"20965","133082","0","drama","el muerto y ser feliz","Eddie Saeta",2012-09-23,0,92,"elmuertoyserfeliz"
"20966","83382","0","crime","players",NA,2012-01-06,0,165,"players"
"20967","83900","5000000","horror","livide","La Fabrique 2",2011-12-06,0,92,"livide"
"20968","77987","4800000","drama","only god forgives","Gaumont",2013-05-30,10337387,90,"onlygodforgives"
"20969","109439","103000000","comedy","the hangover part iii","Legendary Pictures",2013-05-23,362000072,100,"thehangoverpartiii"
"20970","81576","0","documentary","garbo el espía","Ikiru Films",2009-12-04,0,88,"garboelespía"
"20971","82992","160000000","action","fast furious 6","Universal Studios",2013-05-06,788679850,130,"fastfurious6"
"20972","116711","100000000","animation","epic","Blue Sky Studios",2013-05-15,268426634,102,"epic"
"20975","86282","0","documentary","tiexi qu","Wang Bing Film Workshop",2002-04-26,0,551,"tiexiqu"
"20979","54120","0","documentary","bastards of the party","Fuqua Films",2005-01-01,0,95,"bastardsoftheparty"
"20980","152780","11000000","drama","le passé","Memento Films Production",2013-05-17,10631747,130,"lepassé"
"20981","44546","500000","science fiction","lathe of heaven","Alliance Atlantis Communications",2002-09-08,0,94,"latheofheaven"
"20982","42151","31192","drama","down terrace",NA,2009-09-01,10000,89,"downterrace"
"20983","26146","0","comedy","my wrongs 8245 8249 and 117","Warp Films",2002-01-01,0,12,"mywrongs82458249and117"
"20985","55657","0","tv movie","surrender dorothy","Stu Segall Productions",2006-01-01,0,87,"surrenderdorothy"
"20988","28424","0","drama","the loss of a teardrop diamond","Teardrop Productions",2008-01-01,0,102,"thelossofateardropdiamond"
"20989","137182","0","drama","the broken circle breakdown","Topkapi Films",2012-10-09,5475058,112,"thebrokencirclebreakdown"
"20990","118931","0","fantasy","放課後ミッドナイターズ","Mont Blanc Pictures",2012-08-25,0,95,"放課後ミッドナイターズ"
"20991","121725","0","drama","アントキノイノチ","Sochiku",2011-11-19,0,131,"アントキノイノチ"
"20992","100493","500000","horror","the devil s carnival",NA,2012-04-05,0,55,"thedevilscarnival"
"20993","121986","0","comedy","frances ha","Scott Rudin Productions",2013-05-17,4069826,86,"francesha"
"20994","104755","1500000","horror","the lords of salem","Alliance Films",2012-09-10,1165882,101,"thelordsofsalem"
"20996","70757","0","comedy","ein tick anders","ARTE",2011-07-07,0,92,"eintickanders"
"20997","94841","0","thriller","cell count",NA,2012-05-20,0,96,"cellcount"
"20998","119675","23000000","drama","behind the candelabra","Jerry Weintraub Productions",2013-05-26,15600000,118,"behindthecandelabra"
"21000","130824","0","documentary","as i was moving ahead occasionally i saw brief glimpses of beauty",NA,2000-07-19,0,288,"asiwasmovingaheadoccasionallyisawbriefglimpsesofbeauty"
"21001","81534","1500000","comedy","parada","Eurimages",2011-10-31,0,115,"parada"
"21002","60152","0","horror","l a zombie","Wurstfilm",2010-10-07,0,103,"lazombie"
"21003","39193","0","mystery","firecracker",NA,2005-10-11,0,0,"firecracker"
"21007","80034","1800000","science fiction","earth s final hours",NA,2011-05-31,0,84,"earthsfinalhours"
"21008","108235","0","drama","finding a family",NA,2011-10-15,0,88,"findingafamily"
"21009","86843","0","documentary","with great power the stan lee story","1821 Pictures",2010-07-24,0,80,"withgreatpowerthestanleestory"
"21010","123103","2000000","horror","aftershock","Cross Creek Pictures",2012-09-12,58510,89,"aftershock"
"21011","166666","0","crime","3096 tage","Constantin Film Produktion",2013-02-21,0,111,"3096tage"
"21012","167658","0","documentary","tavarataivas",NA,2013-01-23,0,80,"tavarataivas"
"21013","219781","0","documentary","hilton ",NA,2013-01-01,0,71,"hilton"
"21014","176182","0","documentary","the human scale",NA,2013-02-20,0,83,"thehumanscale"
"21016","109455","0","drama","la pivellina",NA,2009-05-19,0,100,"lapivellina"
"21017","84302","0","drama","el último elvis","Anonymous Content",2012-04-25,0,92,"elúltimoelvis"
"21018","90873","0","documentary","last days here",NA,2011-04-29,0,91,"lastdayshere"
"21019","82700","130000000","science fiction","after earth","Columbia Pictures",2013-05-30,243843127,100,"afterearth"
"21022","111172","0","comedy","fairhaven",NA,2012-06-17,0,81,"fairhaven"
"21023","99453","0","documentary","derek",NA,2008-02-19,0,76,"derek"
"21026","75656","75000000","thriller","now you see me","Summit Entertainment",2013-05-29,117698894,115,"nowyouseeme"
"21027","77805","10000000","drama","lovelace","Helios-Filmproduktion",2013-08-08,1585582,92,"lovelace"
"21028","160758","0","crime","a dangerous place","Corrado Schoner Productions",2012-11-30,0,95,"adangerousplace"
"21029","54894","500000","documentary","modify",NA,2005-01-01,0,85,"modify"
"21030","68297","0","documentary","hiroshima","British Broadcasting Corporation (BBC)",2005-08-05,0,89,"hiroshima"
"21031","22911","0","documentary","war made easy how presidents pundits keep spinning us to death",NA,2007-08-23,0,72,"warmadeeasyhowpresidentspunditskeepspinningustodeath"
"21032","194121","0","horror","dark circles","After Dark Films",2013-01-01,0,87,"darkcircles"
"21033","184125","0","drama","assault on wall street","Lynn Peak Productions",2013-06-30,0,99,"assaultonwallstreet"
"21034","118737","0","action","interview with a hitman","Scanner-Rhodes Productions",2012-07-20,0,95,"interviewwithahitman"
"21035","74513","10000000","action","forces spéciales","StudioCanal",2011-11-02,10759,109,"forcesspéciales"
"21036","103970","0","comedy","feeding frenzy","Red Letter Media",2010-01-01,0,87,"feedingfrenzy"
"21037","38540","0","drama","age of heroes","Matador Pictures",2011-05-19,0,90,"ageofheroes"
"21038","94326","0","documentary","all in the poker movie",NA,2012-03-23,0,100,"allinthepokermovie"
"21039","43938","0","comedy","nice guy johnny",NA,2010-11-04,25,89,"niceguyjohnny"
"21040","85431","0","comedy","take me home","Wonder Entertainment",2011-03-02,0,97,"takemehome"
"21045","40226","0","horror","the era of vampires","Film Workshop",2002-01-01,0,112,"theeraofvampires"
"21046","313972","0","drama","lindje perëndim lindje",NA,2009-11-14,0,100,"lindjeperëndimlindje"
"21047","97609","0","comedy","somebody up there likes me",NA,2013-01-22,0,76,"somebodyuptherelikesme"
"21049","176339","0","drama","mary and martha","NBC Universal Television",2013-03-01,0,90,"maryandmartha"
"21050","63923","0","drama","opera jawa","Visions Sud Est",2006-08-07,0,120,"operajawa"
"21051","133463","500000","thriller","redd inc ","Green Light Media",2012-11-03,1e+06,93,"reddinc"
"21053","92620","0","family","the color of friendship","Alan Sacks Productions",2000-02-05,0,87,"thecoloroffriendship"
"21054","116811","0","horror","berberian sound studio","Warp X",2012-08-30,0,92,"berberiansoundstudio"
"21055","147773","4600000","comedy","the way way back","Fox Searchlight Pictures",2013-06-06,23198652,103,"thewaywayback"
"21056","101998","0","drama","foxfire","France 2 Cinéma",2012-09-24,0,123,"foxfire"
"21057","102331","0","drama","vasermil","Transfax Film Productions",2007-10-25,0,93,"vasermil"
"21058","183672","0","documentary","whole",NA,2003-06-12,0,55,"whole"
"21060","127884","0","horror","come out and play","Canana Films",2012-09-13,0,87,"comeoutandplay"
"21061","143567","0","comedy","comme des frères","Cofinova 7",2012-11-21,0,0,"commedesfrères"
"21062","111083","0","thriller","el cuerpo","Antena 3 Films",2012-10-04,0,108,"elcuerpo"
"21063","72660","0","drama","eu não quero voltar sozinho","Lacuna Filmes",2010-07-18,0,17,"eunãoquerovoltarsozinho"
"21064","91739","0","comedy","much ado about nothing",NA,2012-09-08,0,107,"muchadoaboutnothing"
"21065","105526","0","drama","any day now","PFM Pictures",2012-12-14,0,97,"anydaynow"
"21067","50158","0","drama","no et moi","Centre National de la Cinématographie",2010-11-17,0,0,"noetmoi"
"21069","49521","225000000","action","man of steel","Legendary Pictures",2013-06-12,662845518,143,"manofsteel"
"21071","156700","0","comedy","the kings of summer","Big Beach Films",2013-01-19,0,93,"thekingsofsummer"
"21072","65521","0","drama","pyaar ka punchnama",NA,2011-05-20,0,149,"pyaarkapunchnama"
"21073","85047","2640000","romance","london paris new york",NA,2012-03-02,0,100,"londonparisnewyork"
"21074","87567","35000000","comedy","the big wedding","Millenium Films",2013-04-25,21819348,90,"thebigwedding"
"21075","128215","0","drama","still mine","Mulmur Feed Co. Production",2012-09-10,0,102,"stillmine"
"21076","121873","0","drama","hannah arendt","MACT Productions",2012-09-11,717205,113,"hannaharendt"
"21077","75945","0","drama","la otra familia","Rio Negro",2011-03-25,0,130,"laotrafamilia"
"21078","121446","0","documentary","birders the central park effect",NA,2012-07-16,0,61,"birdersthecentralparkeffect"
"21079","144481","0",NA,"41",NA,2012-06-12,0,120,"41"
"21080","233805","0","history","bakhita","Rai Fiction",2009-04-04,0,0,"bakhita"
"21081","158015","3000000","science fiction","the purge","Universal Pictures",2013-05-31,89328627,86,"thepurge"
"21083","79201","0","documentary","god bless ozzy osbourne","Next Entertainment",2011-04-24,0,94,"godblessozzyosbourne"
"21084","121677","0","thriller","the reluctant fundamentalist","Mirabai Films",2013-03-17,519535,130,"thereluctantfundamentalist"
"21085","174188","0","comedy","rapture palooza","Mosaic Media Group",2013-06-07,0,85,"rapturepalooza"
"21086","97562","0",NA,"100 years of evil",NA,2010-01-01,0,80,"100yearsofevil"
"21087","135317","0",NA,"speed auf der suche nach der verlorenen zeit",NA,2012-09-28,0,0,"speedaufdersuchenachderverlorenenzeit"
"21088","51844","0","drama","après lui",NA,2007-05-23,0,94,"aprèslui"
"21090","52034","0","action","tetsuo the bullet man","Asmik Ace Entertainment",2009-09-05,0,71,"tetsuothebulletman"
"21091","159014","1000000","documentary","20 feet from stardom","Tremolo Productions",2013-06-14,0,89,"20feetfromstardom"
"21094","194099","0",NA,"out late",NA,2011-10-25,0,61,"outlate"
"21095","91334","0","documentary","bad blood a cautionary tale",NA,2010-07-28,0,0,"badbloodacautionarytale"
"21096","105965","0","comedy","beverly hills chihuahua 3 viva la fiesta ","Walt Disney Pictures",2012-09-03,0,89,"beverlyhillschihuahua3vivalafiesta"
"21097","39279","0","horror","am1200",NA,2008-10-03,0,39,"am1200"
"21099","250625","0",NA,"looking for palladin",NA,2008-03-05,0,115,"lookingforpalladin"
"21100","96936","15000000","drama","the bling ring","Pathé Distribution",2013-06-12,19145732,90,"theblingring"
"21101","6636","0","drama","el asaltante",NA,2007-04-01,0,67,"elasaltante"
"21102","62211","200000000","animation","monsters university","Walt Disney Pictures",2013-06-20,743559607,104,"monstersuniversity"
"21103","388046","0","documentary","donos de portugal",NA,2012-04-25,0,NA,"donosdeportugal"
"21104","192538","0","history","hammer of the gods","Vertigo Films",2013-07-05,641,99,"hammerofthegods"
"21105","112161","0","comedy","6 month rule",NA,2012-06-01,0,95,"6monthrule"
"21106","88057","0","comedy","a beginner s guide to endings",NA,2010-09-17,0,92,"abeginnersguidetoendings"
"21107","51795","0","documentary","the war you don t see",NA,2010-12-14,0,97,"thewaryoudontsee"
"21108","160085","0","comedy","schlussmacher","Twentieth Century Fox Film Corporation",2013-01-10,0,110,"schlussmacher"
"21114","39544","0","adventure","ホッタラケの島 遥と魔法の鏡","Fuji TV",2009-08-22,0,98,"ホッタラケの島遥と魔法の鏡"
"21115","96599","0","drama","eden","Eden Productions",2012-03-11,0,98,"eden"
"21116","68556","0","drama","días de gracia","ARP Sélection",2011-05-17,0,133,"díasdegracia"
"21117","84198","0","documentary","a place at the table",NA,2012-03-22,0,84,"aplaceatthetable"
"21118","80518","0","adventure","鋼の錬金術師 嘆きの丘 ミロス の聖なる星","Tokyo Broadcasting System (TBS)",2011-07-02,7401480,110,"鋼の錬金術師嘆きの丘ミロスの聖なる星"
"21119","201485","750000","comedy","american idiots","Lions Gate Films",2013-06-18,0,92,"americanidiots"
"21120","103620","6000000","horror","maniac","La Petite Reine",2012-12-26,31081,89,"maniac"
"21121","120292","0","comedy","not suitable for children","icon",2012-07-12,0,97,"notsuitableforchildren"
"21122","128124","0",NA,"the lesser blessed",NA,2012-09-09,0,86,"thelesserblessed"
"21123","108726","0","action","a common man","Myriad Pictures",2013-06-30,0,86,"acommonman"
