"","success_1_to_1","id","original_title","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","New.Year.s.Day","Martin.Luther.King.Jr..Day","Valentine.s.Day","Presidents..Day","Good.Friday","Mother.s.Day","Memorial.Day","Father.s.Day","Independence.Day","Labor.Day","Columbus.Day","Veterans.Day","Thanksgiving.Day","Christmas.Eve","Christmas.Day","Independence.Day.observed","Christmas.Day.observed","New.Year.s.Day.observed","Christmas.Eve.observed","Veterans.Day.observed","related_holiday"
"687",0,72913,"amigo","2010-07-14","chriscooper","johnsayles",0,0,128,1500000,184705,"Q3",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"688",1,72914,"fat sick nearly dead","2010-04-16","joecross","joecross",0,0,97,2600000,34513500.7541806,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"689",1,72976,"lincoln","2012-11-09","danieldaylewis","stevenspielberg",0,1,149,6.5e+07,182207973,"Q4",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Veterans Day"
"690",0,73532,"le havre","2011-05-17","andréwilms","akikaurismäki",0,0,93,5500000,611709,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"691",0,74457,"redemption road","2011-08-26","michaelclarkeduncan","mariovanpeebles",0,1,91,2300000,29384,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"692",1,74510,"kevin hart laugh at my pain","2011-09-09","kevinhart","timstory",4,4,89,750000,7706436,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"693",1,74777,"absentia","2011-03-03","katieparker","mikeflanagan",0,1,92,70000,34513500.7541806,"Q2",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"694",0,75033,"winnie mandela","2011-09-16","eliaskoteas","darrelljamesroodt",0,0,107,1.5e+07,61847,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"695",0,75657,"screwed","2011-06-03","jamesdarcy","regtraviss",0,0,110,1.2e+07,6982680,"Q2",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"696",1,76492,"hotel transylvania","2012-09-20","adamsandler","genndytartakovsky",2,0,91,8.5e+07,148313048,"Q3",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
